"Name","Passing accuracy (%)","Passes attempted","Passes completed"
"Mats Hummels",93,333,312
"Yann Sommer",90,123,110
"Milan Badelj",86,213,182
"Vedran Corluka",88,226,201
"Johan Djourou",94,249,235
"Gianluigi Buffon",88,148,130
"Darijo Srna",82,145,120
"Stephan Lichtsteiner",83,114,93
"Marco Parolo",79,159,128
"Joshua Kimmich",86,246,213
"Granit Xhaka",91,398,364
"Ricardo Rodríguez",93,210,195
"Lukasz Fabianski",66,176,122
"Lukasz Piszczek",84,189,158
"Benedikt Höwedes",93,238,218
"Aron Gunnarsson",78,139,112
"José Fonte",87,188,166
"Hannes Halldórsson",69,161,108
"Birkir Sævarsson",75,93,71
"Wayne Hennessey",72,143,103
"Thibaut Courtois",69,109,75
"Ben Davies",85,179,155
"Cédric",80,154,123
"Andrea Barzagli",92,258,238
"Artur Jedrzejczyk",84,184,159
"Kamil Glik",88,229,205
"Grzegorz Krychowiak",87,310,278
"Michal Pazdan",88,199,178
"William Carvalho",92,340,312
"James Chester",90,306,277
"Manuel Neuer",94,204,192
"Pepe",84,327,279
"Laurent Koscielny",91,330,307
"Hugo Lloris",78,159,124
"Patrice Evra",86,286,245
"Rui Patrício",76,214,158
